time(ns),x,y,z,qw,qx,qy,qz
1718164051300270080,-62.2671,325.628,14.477,0.689241,-0.000113057,-0.00895288,-0.724477
1718164051400388096,-62.2675,325.629,14.4753,0.689242,-0.000102219,-0.00894852,-0.724476
1718164051500506880,-62.2679,325.63,14.4737,0.689245,-9.35768e-05,-0.00894094,-0.724473
1718164051600633088,-62.2683,325.631,14.472,0.689249,-9.83817e-05,-0.00894446,-0.72447
1718164051700747008,-62.2689,325.632,14.4704,0.689254,-8.29376e-05,-0.00894544,-0.724465
1718164051800840960,-62.2693,325.633,14.4688,0.689256,-9.27567e-05,-0.00894754,-0.724463
1718164051900899072,-62.2697,325.634,14.4671,0.689258,-0.000119379,-0.0089446,-0.724461
1718164052000931072,-62.2702,325.635,14.4655,0.689262,-0.000102666,-0.00894996,-0.724457
1718164052100943104,-62.2707,325.636,14.4638,0.689264,-8.58067e-05,-0.00896381,-0.724455
1718164052200950016,-62.271,325.637,14.4622,0.689267,-8.50948e-05,-0.00895623,-0.724452
1718164052300939008,-62.2713,325.638,14.4606,0.689272,-8.39803e-05,-0.00894688,-0.724447
1718164052400924928,-62.2717,325.638,14.459,0.68928,-8.18371e-05,-0.00895781,-0.724439
1718164052500896000,-62.2721,325.639,14.4575,0.68928,-0.000100357,-0.00897866,-0.72444
1718164052600860928,-62.2724,325.64,14.4559,0.689276,-8.48931e-05,-0.00897348,-0.724444
1718164052700826880,-62.2728,325.641,14.4544,0.689278,-9.51141e-05,-0.00897792,-0.724441
1718164052800794880,-62.2732,325.641,14.453,0.689279,-8.16163e-05,-0.00898372,-0.724441
1718164052900762112,-62.2736,325.642,14.4515,0.689279,-5.25379e-05,-0.00896801,-0.724441
1718164053000729088,-62.274,325.643,14.4501,0.689288,-6.02928e-05,-0.00898522,-0.724432
1718164053100704000,-62.2744,325.643,14.4486,0.689289,-6.58742e-05,-0.00898953,-0.724431
1718164053200699904,-62.2748,325.644,14.4472,0.689288,-6.93446e-05,-0.00898987,-0.724431
1718164053300707072,-62.2753,325.644,14.4458,0.689293,-7.92242e-05,-0.00901449,-0.724426
1718164053400715008,-62.2757,325.645,14.4444,0.689295,-8.10808e-05,-0.00901241,-0.724424
1718164053500710912,-62.2762,325.645,14.443,0.689302,-5.61615e-05,-0.00900188,-0.724418
1718164053600692992,-62.2767,325.646,14.4416,0.689302,-5.24045e-05,-0.00900593,-0.724418
1718164053700677120,-62.2772,325.646,14.4402,0.689303,-6.01158e-05,-0.00899408,-0.724418
1718164053800675072,-62.2777,325.647,14.4388,0.689306,-6.32929e-05,-0.0089937,-0.724415
1718164053900677888,-62.2782,325.647,14.4374,0.689309,-8.23473e-05,-0.00901238,-0.724411
1718164054000689920,-62.2788,325.648,14.4361,0.689317,-9.02218e-05,-0.00901513,-0.724403
1718164054100692992,-62.2793,325.648,14.4348,0.689315,-8.15711e-05,-0.00900467,-0.724406
1718164054200695040,-62.2798,325.648,14.4334,0.689316,-8.6352e-05,-0.00899222,-0.724405
1718164054300687872,-62.2804,325.648,14.4321,0.689318,-7.83143e-05,-0.00898815,-0.724403
1718164054400676096,-62.281,325.649,14.4308,0.689315,-7.15863e-05,-0.00900815,-0.724406
1718164054500657920,-62.2815,325.649,14.4294,0.689321,-0.000152923,-0.00906723,-0.7244
1718164054600638976,-62.2822,325.646,14.4278,0.689298,-0.000267743,-0.00918986,-0.724419
1718164054700613120,-62.2832,325.64,14.4264,0.689301,-0.000341584,-0.00923841,-0.724416
1718164054800570112,-62.2843,325.629,14.4253,0.689291,-0.000359961,-0.00920416,-0.724426
1718164054900526080,-62.2857,325.615,14.4241,0.689263,-0.000393345,-0.00921906,-0.724452
1718164055000484096,-62.2876,325.596,14.423,0.689245,-0.000376611,-0.00921531,-0.724469
1718164055100432896,-62.2895,325.573,14.422,0.689227,-0.000379845,-0.00919278,-0.724487
1718164055200386048,-62.2916,325.547,14.4209,0.689204,-0.000479058,-0.00920994,-0.724508
1718164055300323072,-62.294,325.515,14.4199,0.689196,-0.000563157,-0.0092069,-0.724517
1718164055400260096,-62.2968,325.479,14.4189,0.689196,-0.000615683,-0.00923699,-0.724516
1718164055500204032,-62.2998,325.439,14.4178,0.689184,-0.000679674,-0.00928729,-0.724527
1718164055600152064,-62.3033,325.393,14.4167,0.68919,-0.00069779,-0.00932991,-0.72452
1718164055700101888,-62.307,325.343,14.4157,0.689226,-0.000732417,-0.0093834,-0.724485
1718164055800054016,-62.3108,325.289,14.4148,0.689225,-0.000788935,-0.00940019,-0.724486
1718164055900016896,-62.3149,325.23,14.4141,0.689256,-0.000785443,-0.00942395,-0.724456
1718164055999990016,-62.3193,325.167,14.4132,0.689351,-0.00084795,-0.0094591,-0.724366
1718164056099963904,-62.3235,325.1,14.4124,0.689448,-0.000893582,-0.00943922,-0.724273
1718164056199947008,-62.3279,325.028,14.4114,0.689567,-0.000941321,-0.00940242,-0.72416
1718164056299959040,-62.3328,324.952,14.4104,0.689725,-0.000924203,-0.00935148,-0.72401
1718164056399985920,-62.3377,324.871,14.4095,0.689891,-0.000931381,-0.00931918,-0.723853
1718164056500026112,-62.3426,324.787,14.4085,0.69006,-0.00112284,-0.00936991,-0.72369
1718164056600078080,-62.3478,324.698,14.4079,0.690253,-0.00124129,-0.00940755,-0.723506
1718164056700147968,-62.3534,324.605,14.4076,0.690475,-0.00129278,-0.00941271,-0.723294
1718164056800240128,-62.3592,324.506,14.407,0.690683,-0.00142074,-0.00957101,-0.723093
1718164056900336128,-62.3655,324.4,14.4064,0.690907,-0.0014938,-0.00976899,-0.722876
